Instance	CPU	Memory	BW
m1.small	1	2	100
m1.medium	1	4	200 
m1.large  	2	8	500 	
m1.xlarge	4	15	1000	
m2.xlarge	2	18	200	
m2.2xlarge	4	35	500
m4.large	2	8	450
m4.xlarge	4	16	750
m4.2xlarge	8	32	1000	
m3.medium	1	4	100	
m3.large	2	8	200		
m3.xlarge	4	15	500	
m3.2xlarge	8	30	1000	
c4.large	2	4	500
c4.xlarge	4	8	750	
c4.2xlarge	8	15	1000
c4.4xlarge	16	30	2000	
c4.8xlarge	36	60	4000
c3.large	2	4	200	
c3.xlarge	4	8	500
c3.2xlarge	8	15	1000
c3.4xlarge	16	30	2000
d2.xlarge	8	16	750
d2.2xlarge	16	32	1000
